병원명,전화번호,소재지,사업자등록번호,,,,
(주)가나이십사시동물병원,314024061,경기도 안산시 단원구 고잔동,,,,,
(주)다솜동물메디컬센터,516327580,부산광역시 남구 문현동,,,,,
(주)대경동물병원,,경상북도 구미시 선산읍 화조리,,,,,
(주)돼지와건강,7042568656,충청남도 홍성군 홍성읍 옥암리,,,,,
(주)에니멀클리닉컨설팅(출장진료전문병원),312332836,경기도 용인시 기흥구 신갈동,,,,,
(주)옵티팜,432497500,충청북도 청주시 흥덕구 오송읍 만수리,,,,,
(주)옵티팜,432497500,충청북도 청원군 오송읍 만수리,,,,,
(주)이상윤동물병원,27925455,서울특별시 용산구 이촌동,,,,,
(주)정선가축병원,335630198,강원도 정선군 정선읍 봉양리,,,,,
(주)죽전동물메디컬센터,535637585,대구광역시 달서구 용산동,,,,,
(주)초록동물병원,,대구광역시 달서구 진천동,,,,,
(주)펫동물병원,"0313344589, 0172326050",경기도 용인시 처인구 삼가동,,,,,
(주)하림애니멀클리닉,638311252,전라북도 익산시 마동,,,,,
(주)한빛종합동물병원,29517582,서울특별시 노원구 상계동,,,,,
119동물병원,535851195,대구광역시 달성군 다사읍 매곡리,,,,,
21세기 종합동물병원,632517588,전라북도 전주시 덕진구 송천동1가,,,,,
21세기동물병원,612790006,전라남도 목포시 상동,,,,,
21세기동물병원,3180153178,경기도 화성시 반송동,,,,,
21세기동물병원,27496750,서울특별시 용산구 보광동,,,,,
21세기종합동물병원,513650075,부산광역시 북구 덕천동,,,,,
21세기종합동물병원,539590121,대구광역시 동구 효목동,,,,,
24시 SNC 동물메디컬센터,25627582,서울특별시 강남구 역삼동,309-27-00466,,,,
24시 강서 젠틀리동물의료센터,226628111,서울특별시 강서구 마곡동,,,,,
24시 건국 본 동물병원,328640075,인천광역시 미추홀구 주안동,,,,,
24시 굿케어동물의료센터,269562475,서울특별시 관악구 봉천동,,,,,
24시 글로리 동물병원,28558575,서울특별시 금천구 독산동,,,,,
24시 나음동물의료센터,319067975,경기도 고양시 일산동구 장항동,,,,,
24시 당신의 동물의료센터,312686575,경기도 수원시 장안구 천천동,665-11-01646,,,,
24시 대전동물의료센터,423227553,대전광역시 유성구 봉명동,,,,,
24시 더나은 동물메디컬 센터,0557161175(01093789376,경상남도 거제시 고현동,,,,,
24시 더블유 동물의료센터,325658270,인천광역시 서구 청라동,380-03-00760,,,,
24시 더케어 동물의료센터,315168585,경기도 구리시 수택동,380-09-00684,,,,
24시 동물응급의료센터,222087233,서울특별시 중랑구 중화동,,,,,
24시 라움동물의료센터,316925022,경기도 평택시 비전동,715-59-00342,,,,
24시 라인동물의료센터,23812475,경기도 고양시 덕양구 삼송동,,,,,
24시 리본동물영상센터,517110006,부산광역시 동래구 명륜동,,,,,
24시 리본동물의료센터,517110006,부산광역시 동래구 명륜동,,,,,
24시 명동물메디컬센터,226195102,서울특별시 구로구 개봉동,,,,,
24시 모두의동물병원,269512475,경기도 광명시 하안동,,,,,
24시 모란동물 메디컬센터,3.17651E+12,경기도 광주시 쌍령동,,,,,
24시 블레스동물메디컬센터,315460942,경기도 용인시 기흥구 중동,,,,,
24시 블루밍 동물병원,624167975,광주광역시 북구 운암동,,,,,
24시 비엔동물의료센터,323457559,경기도 부천시 괴안동,,,,,
24시 사람앤동물메디컬센터,312620306,경기도 용인시 수지구 성복동,422-30-00401,,,,
24시 산들산들 동물병원,23933588,서울특별시 마포구 아현동,,,,,
24시 서울 탑 동물병원,226018875,서울특별시 양천구 신정동,,,,,
24시 서울YES동물병원,,경기도 용인시 수지구 죽전동,,,,,
24시 성심동물메디컬센터,427197566,대전광역시 유성구 봉명동,,,,,
24시 소래동물병원,324383227,인천광역시 남동구 논현동,,,,,
24시 송도힐 동물메디컬센터,328347275,인천광역시 연수구 송도동,768-08-00010,,,,
24시 수 동물메디컬센터,226767582,서울특별시 영등포구 양평동1가,,,,,
24시 수유 바른펫 동물의료센터,29037582,서울특별시 강북구 수유동,110-43-34968,,,,
24시 숨 동물병원,315482475,경기도 수원시 권선구 권선동,,,,,
24시 스마트동물병원(신사본원),25490275,서울특별시 강남구 신사동,,,,,
24시 시유동물메디컬센터,27930075,서울특별시 용산구 이촌동,,,,,
24시 쓰담쓰담 동물메디컬 센터,,경기도 용인시 기흥구 신갈동,,,,,
24시 아이동물메디컬센터,326775262,경기도 부천시 원종동,,,,,
24시 아프리카동물병원,314867533,경기도 안산시 단원구 초지동,134-29-85297,,,,
24시 안박동물병원,,서울특별시 강서구 등촌동,,,,,
24시 애니동물병원,29268275,서울특별시 성북구 보문동5가,,,,,
24시 양주 힐 동물의료센터,318598275,경기도 양주시 옥정동,,,,,
24시 언제나 동물병원,625710011,광주광역시 북구 매곡동,,,,,
24시 오케이 동물병원,328327975,인천광역시 연수구 송도동,627-19-01257,,,,
24시 온누리동물메디컬센터,314877500,경기도 안산시 단원구 고잔동,,,,,
24시 올리몰스 동물 메디컬 센터,632757979,전라북도 전주시 덕진구 송천동1가,,,,,
24시 웰니스 동물 의료센터,322017575,경기도 부천시 중동,,,,,
24시 위드유 동물의료센터,,경기도 시흥시 은행동,,,,,
24시 위드힐동물메디컬센터,315233256,경기도 남양주시 별내동,,,,,
24시 이지동물의료센터,323487975,경기도 부천시 역곡동,,,,,
